,Sample_ID,Change_points,slope,Rsquared,Gmin_mean,K,VPD,mean_T,mean_RH,mean_Patm,mean_area,Campaign
0,test,Discarded,Discarded,Discarded,Discarded,,,,,,,auto_gmin_testdataset
1,grenache1,[107.],-0.0005753568498769481,0.9969419126398785,10.902245297568989,-0.0005322859723125296,1.9182020113397955,25.0,40.0,101.32500000000002,0.002579,auto_gmin_testdataset
2,syrah4,[124.],-0.0004225150975727429,0.9614349931019814,10.13136719390214,-0.00039088586427072177,1.9182020113397955,25.0,40.0,101.325,0.002038,auto_gmin_testdataset
3,B17_LITU_BL_11,"[1294.6452375738993, 2798.8296036785623]",-1.6429046108696883e-05,0.027060196881269493,0.033084251435177035,-1.519917731752979e-05,1.3261976830342317,26.372619680851063,61.77860372340426,101.32500000000003,0.035100000000000006,auto_gmin_testdataset
4,B22_LITU_BL_09,[1136.],-0.00014594488854520306,0.8263718793753124,0.18097606152639703,-0.00013501953947353123,1.3229334197672764,26.34977412731006,61.82094455852157,101.32500000000005,0.05714182599999997,auto_gmin_testdataset
