,Sample_ID,Change_points,slope,Rsquared,Gmin_mean,K,VPD,mean_T,mean_RH,mean_Patm,mean_area,Campaign
0,test,Discarded,Discarded,Discarded,Discarded,,,,,,,auto_gmin_testdataset (copy)
1,grenache1,[107.],-0.0005753568498769481,0.9969419126398785,10.902245297568989,-0.0005322859723125296,1.9182020113397955,25.0,40.0,101.32500000000002,0.002579,auto_gmin_testdataset (copy)
2,syrah4,[124.],-0.0004225150975727429,0.9614349931019814,10.13136719390214,-0.00039088586427072177,1.9182020113397955,25.0,40.0,101.325,0.002038,auto_gmin_testdataset (copy)
3,B17_LITU_BL_11,[1616.],-2.8345999623883808e-05,0.0710953568224918,0.05631972086872054,-2.622403465639891e-05,1.3441524018750244,26.464300271739127,61.47129076086956,101.32500000000002,0.035100000000000006,auto_gmin_testdataset (copy)
4,B22_LITU_BL_09,"[1373.0851762645061, 2675.020801401357]",-0.000155059743502351,0.7119629315674302,0.19115348148292846,-0.0001434520617149729,1.3307212134012147,26.398584615384614,61.707284615384616,101.32500000000005,0.057141825999999986,auto_gmin_testdataset (copy)
