,Sample_ID,Change_points,slope,Rsquared
0,grenache1,[66.],-0.0005978397827591093,0.9955557360002467
1,syrah4,[80.],-0.0004963199826257916,0.9538948553388046
2,B17_LITU_BL_11,[1008.],-3.720828199182574e-05,0.21375366406385962
3,B22_LITU_BL_09,[912.],-0.00016952010581798414,0.8502509512607013
