time_min,LituBD5_mass,LituLD2_mass,LituBL2t_mass,LituLL21_mass
548,7.5213,2.1896,5.679699449,1.6552
552,7.5031,2.1221,5.683038069,1.6256
556,7.4850,2.1317,5.699379855,1.6741
560,7.5213,2.2104,5.661249022,1.6443
564,7.5031,2.1831,5.735050543,1.6591
568,7.4850,2.1486,5.601329141,1.6225
572,7.4305,2.1107,5.704475614,1.6083
576,7.4850,2.1586,5.736280522,1.6078
580,7.3760,2.1837,5.634364027,1.5890
584,7.3397,2.1262,5.584108691,1.6497
588,7.3216,2.1343,5.609763519,1.6440
592,7.3216,2.1717,5.622415182,1.6354
596,7.3579,2.2701,5.485179502,1.6375
600,7.3579,2.0930,5.545977858,1.6206
604,7.3397,2.1409,5.480435058,1.6124
608,7.3034,2.1756,5.495019705,1.6176
612,7.2671,2.1013,5.451792924,1.6215
616,7.2671,2.0795,5.477272095,1.5497
620,7.2671,2.1164,5.478150759,1.5756
624,7.2490,2.0639,5.428071081,1.5430
628,7.2490,2.1365,5.445467187,1.5767
632,7.2308,2.1457,5.390643065,1.5884
636,7.1763,2.1582,5.545450697,1.5789
640,7.1945,2.0770,5.352160728,1.6212
644,7.1763,2.0864,5.420690834,1.5614
648,7.1945,2.1140,5.380802862,1.5811
652,7.1400,2.0928,5.328614542,1.5611
656,7.1400,2.0952,5.267289026,1.6064
660,6.9948,2.0349,5.341617708,1.5324
664,7.1582,2.1464,5.343374846,1.6102
668,7.0493,2.0889,5.288375067,1.5468
672,7.1037,2.0418,5.458470353,1.5361
676,7.0493,2.0571,5.333710301,1.5252
680,6.9585,2.0700,5.304716853,1.5600
684,7.0493,2.1039,5.327911724,1.5377
688,6.9948,2.0703,5.388007263,1.5451
692,7.0493,2.0700,5.240755534,1.5082
696,6.9585,2.1064,5.329141702,1.4922
700,6.9766,2.0880,5.190148695,1.5307
704,6.9403,2.1099,5.188391557,1.5221
708,6.9585,2.0674,5.231793806,1.5307
712,6.9766,2.0757,5.225292223,1.5444
716,6.9585,2.0266,5.207544802,1.4996
720,6.9040,2.1022,5.135148916,1.4788
724,6.8495,2.0206,5.179078514,1.4946
728,6.8677,2.0027,5.140771835,1.4848
732,6.8859,2.0943,5.188391557,1.4954
736,6.8132,2.0711,5.171346764,1.5004
740,6.8495,2.1361,5.117577152,1.4867
744,6.8314,2.0569,5.092449484,1.4602
748,6.8495,2.0915,5.114062686,1.4585
752,6.8495,2.0395,5.132513113,1.5492
756,6.8495,2.1346,5.211410582,1.5174
760,6.7951,2.0484,5.070660436,1.4975
764,6.7043,2.0856,5.079270472,1.5166
768,6.7406,2.0639,5.059062906,1.4468
772,6.7951,1.9763,5.058535746,1.4937
776,6.7043,2.0252,4.954862112,1.4850
780,6.7406,2.1334,4.981044101,1.4108
784,6.6680,2.0523,5.123727231,1.4621
788,6.6680,2.0799,5.128647333,1.4547
792,6.6498,2.0228,5.063104533,1.4463
796,6.6498,2.1214,4.997561544,1.4257
800,6.6317,2.0313,5.130404471,1.4223
804,6.6498,1.9832,5.013024855,1.4465
808,6.6861,2.0200,5.033935238,1.4166
812,6.6680,2.0193,5.101411023,1.3963
816,6.5591,2.0442,4.995980062,1.4224
820,6.6317,1.9992,5.139541857,1.4386
824,6.5954,2.0467,4.866651601,1.4020
828,6.5409,2.0384,4.959957871,1.4367
832,6.5954,2.1330,5.07276889,1.4341
836,6.5227,1.9900,5.010213395,1.4298
840,6.5409,2.0458,5.074526217,1.3903
844,6.5591,2.0069,4.945373412,1.4127
848,6.4501,2.0290,4.949063347,1.3613
852,6.5046,2.0222,4.953456288,1.4329
856,6.4320,2.0132,4.859622857,1.4504
860,6.4864,1.9428,4.940628968,1.4255
864,6.4864,1.9924,4.872098863,1.3740
868,6.5046,1.9719,4.867705922,1.4202
872,6.4138,2.0436,4.857514216,1.4157
876,6.4320,1.9992,4.934830203,1.3797
880,6.4320,2.0093,4.819207725,1.3589
884,6.4501,1.9994,4.954510609,1.4005
888,6.3594,2.0878,4.896875216,1.4082
892,6.4864,2.0034,4.787051314,1.3673
896,6.4320,1.9955,4.846971195,1.3726
900,6.3412,1.9727,4.809367522,1.3440
904,6.3594,1.9868,4.75120478,1.3426
908,6.3957,1.9179,4.820262046,1.3629
912,6.3230,1.9992,4.851539793,1.3678
916,6.2867,1.9328,4.740134599,1.3488
920,6.2867,1.9019,4.764207945,1.3683
924,6.2867,1.9570,4.837306649,1.3319
928,6.2867,1.9955,4.7617478,1.3683
932,6.2504,1.9671,4.646476825,1.3424
936,6.3594,1.9640,4.884047707,1.3144
940,6.2323,2.0370,4.74224324,1.3766
944,6.2323,1.9481,4.760693668,1.3623
948,6.2686,1.9773,4.815166287,1.3259
952,6.1960,1.9787,4.80392026,1.3421
956,6.2323,1.9413,4.802514436,1.3831
960,6.1960,1.9664,4.713601107,1.3529
964,6.2323,1.9773,4.879479109,1.3574
968,6.0689,1.9557,4.753313422,1.2983
972,6.1960,1.9592,4.676876098,1.3053
976,6.1415,1.9531,4.77562963,1.3388
980,6.1415,1.9914,4.93887183,1.3029
984,6.2504,1.8969,4.817801901,1.3598
988,6.1415,1.9747,4.747690502,1.3031
992,6.1960,1.9515,4.712371129,1.3525
996,6.1415,1.9769,4.761044983,1.2984
1000,6.1052,1.9553,4.683201834,1.2912
1004,6.1052,1.9524,4.585502623,1.2907
1008,6.1052,1.9081,4.733281513,1.2959
1012,6.0689,1.9730,4.759990662,1.3860
1016,6.1415,1.9295,4.754894903,1.2907
1020,6.0689,1.9360,4.751029122,1.3005
1024,6.0689,1.9551,4.695326525,1.2447
1028,6.1233,1.8910,4.645071001,1.3118
1032,6.0144,1.9085,4.704288064,1.2552
1036,6.0870,1.8835,4.656668531,1.3024
1040,6.0144,1.8770,4.510470935,1.2744
1044,6.0144,1.9004,4.545087491,1.2528
1048,5.9599,2.0095,4.607291671,1.2560
1052,5.9599,1.9339,4.55738765,1.2862
1056,5.9962,1.8540,4.497467769,1.2957
1060,5.9599,1.8890,4.531030004,1.3000
1064,6.0144,1.9019,4.710438144,1.2727
1068,5.9962,1.9196,4.518729656,1.2698
1072,5.9781,1.9091,4.703409401,1.2634
1076,5.9599,1.8969,4.448793915,1.2986
1080,6.0144,1.9940,4.490087711,1.2694
1084,5.9781,1.8678,4.528745705,1.2387
1088,5.9962,1.9922,4.505199519,1.2284
1092,5.9962,1.8991,4.591125542,1.2543
1096,5.8510,1.8925,4.534192967,1.2279
1100,5.9236,1.8890,4.537531587,1.2277
1104,5.8692,1.8457,4.514336715,1.2519
1108,5.9781,1.9006,4.458106958,1.2129
1112,5.9962,1.8641,4.548250454,1.2134
1116,5.9599,1.9758,4.538234405,1.2201
1120,6.0144,1.8429,4.635933805,1.2066
1124,5.9236,1.8888,4.455822658,1.2380
1128,5.9599,1.8938,4.537004427,1.2225
1132,5.9418,1.9004,4.466014364,1.2438
1136,5.8692,1.9540,4.408027279,1.2050
1140,5.9418,1.8912,4.406972958,1.2538
1144,5.9055,1.9437,4.529272866,1.2067
1148,5.8510,1.8623,4.525582742,1.2030
1152,5.8147,1.8306,4.471637284,1.2150
1156,5.8692,1.8680,4.423666247,1.2134
1160,5.8329,1.8892,4.380439655,1.2060
1164,5.8329,1.9046,4.445982456,1.2189
1168,5.8329,1.8916,4.33967302,1.2016
1172,5.8147,1.8685,4.424193408,1.2297
1176,5.8510,1.8335,4.438075049,1.1899
1180,5.8329,1.8580,4.402580018,1.1841
1184,5.7965,1.8602,4.374465233,1.2337
1188,5.8147,1.9891,4.449321076,1.1750
1192,5.7602,1.8654,4.393794136,1.1659
1196,5.7421,1.8706,4.387116895,1.1916
1200,5.8510,1.8062,4.397132756,1.1779
1204,5.8147,1.8648,4.467244343,1.1619
1208,5.8329,1.8494,4.460918417,1.1863
1212,5.8329,1.7865,4.400998536,1.1942
1216,5.7602,1.8540,4.563186415,1.2016
1220,5.7784,1.8468,4.416461847,1.1315
1224,5.7602,1.8398,4.461094263,1.1470
1228,5.8147,1.8514,4.387819713,1.1727
1232,5.7602,1.8866,4.554752036,1.1628
1236,5.7965,1.7756,4.383251115,1.1475
1240,5.7602,1.8890,4.483410471,1.1696
